,compound,create_date,negative,neutral,news_media,positive,tweets_ago
48,0.1531,2017-09-21 03:25:58+00:00,0.0,0.904,CNN,0.096,-48
49,0.0,2017-09-21 03:17:13+00:00,0.0,1.0,CNN,0.0,-49
50,0.2263,2017-09-21 03:03:36+00:00,0.091,0.782,CNN,0.128,-50
51,-0.3612,2017-09-21 03:02:00+00:00,0.135,0.865,CNN,0.0,-51
52,0.0772,2017-09-21 02:56:06+00:00,0.167,0.651,CNN,0.181,-52
53,-0.5719,2017-09-21 02:48:04+00:00,0.188,0.812,CNN,0.0,-53
54,0.0,2017-09-21 02:43:42+00:00,0.0,1.0,CNN,0.0,-54
55,0.0,2017-09-21 02:34:15+00:00,0.0,1.0,CNN,0.0,-55
56,-0.2732,2017-09-21 02:33:22+00:00,0.128,0.793,CNN,0.079,-56
57,0.0,2017-09-21 02:30:51+00:00,0.0,1.0,CNN,0.0,-57
58,0.0772,2017-09-21 02:27:26+00:00,0.0,0.933,CNN,0.067,-58
59,0.0,2017-09-21 02:21:17+00:00,0.0,1.0,CNN,0.0,-59
60,0.0,2017-09-21 02:12:53+00:00,0.0,1.0,CNN,0.0,-60
61,0.7089,2017-09-21 02:09:10+00:00,0.0,0.671,CNN,0.329,-61
62,0.4767,2017-09-21 01:57:11+00:00,0.0,0.819,CNN,0.181,-62
63,0.4019,2017-09-21 01:51:53+00:00,0.0,0.863,CNN,0.137,-63
64,-0.1027,2017-09-21 01:45:38+00:00,0.129,0.762,CNN,0.11,-64
65,0.0,2017-09-21 01:30:00+00:00,0.0,1.0,CNN,0.0,-65
66,0.296,2017-09-21 01:29:00+00:00,0.0,0.891,CNN,0.109,-66
67,-0.296,2017-09-21 01:27:30+00:00,0.213,0.659,CNN,0.128,-67
68,0.0,2017-09-21 01:15:13+00:00,0.0,1.0,CNN,0.0,-68
69,0.5994,2017-09-21 01:04:10+00:00,0.087,0.672,CNN,0.241,-69
70,0.0,2017-09-21 01:03:25+00:00,0.0,1.0,CNN,0.0,-70
71,0.0,2017-09-21 01:02:59+00:00,0.0,1.0,CNN,0.0,-71
72,0.0772,2017-09-21 00:57:24+00:00,0.0,0.915,CNN,0.085,-72
73,0.0,2017-09-21 00:53:06+00:00,0.0,1.0,CNN,0.0,-73
74,-0.296,2017-09-21 00:45:24+00:00,0.222,0.645,CNN,0.133,-74
75,-0.0772,2017-09-21 00:34:24+00:00,0.138,0.739,CNN,0.123,-75
76,-0.0772,2017-09-21 00:32:30+00:00,0.147,0.677,CNN,0.175,-76
77,0.0772,2017-09-21 00:28:42+00:00,0.137,0.71,CNN,0.153,-77
78,0.0,2017-09-21 00:19:35+00:00,0.0,1.0,CNN,0.0,-78
79,0.3612,2017-09-21 00:09:53+00:00,0.0,0.865,CNN,0.135,-79
80,0.3612,2017-09-21 00:07:51+00:00,0.14,0.617,CNN,0.243,-80
81,0.25,2017-09-21 00:04:08+00:00,0.22,0.52,CNN,0.26,-81
82,0.2023,2017-09-20 23:54:31+00:00,0.0,0.859,CNN,0.141,-82
83,0.7906,2017-09-20 23:39:12+00:00,0.0,0.65,CNN,0.35,-83
84,0.5233,2017-09-20 23:14:37+00:00,0.0,0.842,CNN,0.158,-84
85,-0.34,2017-09-20 23:09:07+00:00,0.179,0.821,CNN,0.0,-85
86,0.7346,2017-09-20 23:03:08+00:00,0.095,0.573,CNN,0.332,-86
87,0.4939,2017-09-20 22:56:57+00:00,0.122,0.585,CNN,0.293,-87
88,0.0,2017-09-20 22:50:59+00:00,0.0,1.0,CNN,0.0,-88
89,0.4939,2017-09-20 22:45:39+00:00,0.0,0.862,CNN,0.138,-89
90,-0.6801,2017-09-20 22:39:01+00:00,0.173,0.827,CNN,0.0,-90
91,-0.4215,2017-09-20 22:38:47+00:00,0.141,0.859,CNN,0.0,-91
92,0.0,2017-09-20 22:35:15+00:00,0.0,1.0,CNN,0.0,-92
93,0.4019,2017-09-20 22:30:32+00:00,0.0,0.856,CNN,0.144,-93
94,0.0,2017-09-20 22:27:12+00:00,0.0,1.0,CNN,0.0,-94
